id;id_exam;title;level;start_date;end_date
1;ebea24de-3649-4ed2-8c20-8f78b025680a;Berkshire Oregon deposit;FOUR;2020-05-24T04:46:12;2020-05-23T11:54:45
2;70ac2e5f-e1ce-47b9-8710-bf803fb388a9;overriding Fresh Money Market Account;THREE;2020-05-23T23:59:30;2020-05-23T12:14:56
3;be171907-1332-4963-85ef-8baae18d190f;Village Bike Squares;ONE;2020-05-24T00:54:59;2020-05-23T20:10:09
4;dc1d8e91-9572-451e-84d2-33884a161d52;bus Direct;FOUR;2020-05-23T21:10:49;2020-05-23T16:27:05
5;dabe0fec-3267-42d5-9617-19eeda97f08e;plug-and-play e-business Creative;THREE;2020-05-23T13:32:13;2020-05-23T22:22:15
6;c8949708-e7e1-451e-94f5-0681697746d7;Pine Generic;FOUR;2020-05-23T10:46:51;2020-05-23T11:05:37
7;b238cab3-72f0-4519-bd2a-83b62f0c76cf;channels;FIVE;2020-05-24T02:50:03;2020-05-23T05:03:32
8;89e24b17-8778-4d0a-b5dc-c44c65a84928;Chief;FIVE;2020-05-24T00:12:05;2020-05-23T21:47:19
9;c1758dc8-836e-4580-85b8-89a67373cb3c;mobile calculating;TWO;2020-05-24T04:04:28;2020-05-23T18:51:22
10;3d1c0f2f-61e7-4d80-9fde-e0f0eeb0344f;Generic Concrete Chicken Cambridgeshire Architect;THREE;2020-05-23T21:55:28;2020-05-23T05:19:19
